Target ID,Nome Attivita,Comune,Indirizzo,Provincia,Categoria,Sottocategoria,Priorita Distanza,Distanza KM,Ha Sito Web,Opportunita Web,Telefono,Email,Sito Web,OSM URL,Motivo Shortlist,Brief Ricerca
DR-011,Da Rosella,N/D,N/D,Varese,Ristorazione,Ristorante,ALTISSIMA,1.98,NO,ALTA,+39 0331 859275,N/D,N/D,https://www.openstreetmap.org/node/4271588951,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-012,Caffè della stazione,Malnate,"Piazza Antonio Bianchi Luraschi 2, 21046 Malnate",Varese,Ristorazione,Caffetteria,ALTISSIMA,2.14,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/3716927794,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-013,Bar Calimero,N/D,N/D,Varese,Ristorazione,Caffetteria,ALTISSIMA,2.25,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/3027118502,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-014,Ice Dream,N/D,N/D,Varese,Ristorazione,Gelateria,ALTISSIMA,2.28,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/7925650463,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-015,Pub Pizzeria Ristorante La Piazzetta,N/D,N/D,Varese,Ristorazione,Ristorante,ALTISSIMA,2.28,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/693213721,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-016,For Pizza,N/D,Via papa Celestino quarto 1,Varese,Ristorazione,Ristorante,ALTISSIMA,2.53,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/7347270669,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-017,Istanbul 3,Malnate,"Via Mauro Conconi 8, Malnate",Varese,Ristorazione,Fast Food,ALTISSIMA,2.54,NO,ALTA,+39 349 1923430,N/D,N/D,https://www.openstreetmap.org/node/2895199144,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-018,L'oasi latina,N/D,N/D,Varese,Ristorazione,Bar,ALTISSIMA,2.54,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/3039266235,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-019,Caffè Lucioni,Castiglione Olona,"Via papa Celestino quarto 20, Castiglione Olona",Varese,Ristorazione,Caffetteria,ALTISSIMA,2.57,NO,ALTA,+39 0331 857411,N/D,N/D,https://www.openstreetmap.org/node/3027118496,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-020,Sartorelli,N/D,N/D,Varese,Ristorazione,Bar,ALTISSIMA,2.61,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/4262898894,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-021,Osteria degli Angeli,N/D,Via Giuseppe Brusa 5,Varese,Ristorazione,Ristorante,ALTISSIMA,2.68,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/4907623824,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-022,La Casa Del Popolo,Venegono Superiore,"Via Cesare Battisti 50, 21040 Venegono Superiore",Varese,Ristorazione,Bar,ALTISSIMA,2.71,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/4905438637,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-023,Bar dell'oratorio,N/D,N/D,Varese,Ristorazione,Caffetteria,ALTISSIMA,2.73,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/4581165660,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-024,Mercado café,N/D,N/D,Varese,Ristorazione,Caffetteria,ALTISSIMA,2.79,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/3027040766,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-025,Al nostro,N/D,N/D,Varese,Ristorazione,Caffetteria,ALTISSIMA,2.82,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/3027118499,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-026,Old Inn Pub,N/D,N/D,Varese,Ristorazione,Pub,ALTISSIMA,2.83,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/3027118500,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-027,Il chiosco,N/D,N/D,Varese,Ristorazione,Caffetteria,ALTISSIMA,2.84,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/way/271623547,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-028,Osteria Piccolo Stelvio,Gornate Superiore,"Via delle Madonne 1, Gornate Superiore",Varese,Ristorazione,Ristorante,ALTISSIMA,2.90,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/5563693070,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-029,Caffè Battisti,N/D,N/D,Varese,Ristorazione,Bar,ALTISSIMA,2.98,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/3027122935,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-030,Chiosco del castello,N/D,N/D,Varese,Ristorazione,Caffetteria,ALTISSIMA,2.99,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/2432640016,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
